,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-08-08,913771.4328159067,1013343.4142748412,967356.1578847043,891616.7736917965,945368.2049548645,1051373.8249547712,956479.0009165215
2022-08-09,911906.1362918589,1009053.8496767577,968853.4287129514,882172.9947362529,945041.836714508,1043690.4518879172,954785.5870118419
2022-08-10,925404.4172672007,1026079.821951538,987388.3269101254,899657.1995385791,965131.9133098144,1060553.6605284263,970374.189736553
2022-08-11,923590.991203663,1030466.819960266,987726.9205380551,899541.7766024066,967798.1309459228,1055126.1476598731,971165.4206268988
2022-08-12,933876.6347125742,1044470.7247072753,999063.9391995542,911143.8892466022,979283.6753642578,1074484.4425857163,983528.4459624465
2022-08-15,943862.1890338633,1049212.1255861816,1004402.4041615598,918429.6009635517,984416.8405292053,1077846.009008781,987938.7644416991
2022-08-16,947529.356300709,1057419.3444735107,1012089.9606953732,919897.282793111,989883.2910296936,1090215.3971067169,994917.9375331576
2022-08-17,942236.4565509531,1053292.1303240357,1007306.0646115415,913653.6414790088,987142.9970805664,1090371.7442916152,989916.2157837874
2022-08-18,939316.4883350107,1054770.9091173706,1007932.040033447,914929.8614253742,988452.2773196716,1088847.2326528882,990461.5312485562
2022-08-19,930126.6000903818,1045733.94894281,999362.6117383115,902943.9349231464,977835.6565120239,1080244.6133040464,981946.2117758553
2022-08-22,911255.1313403818,1027767.6504656371,979469.0860119931,880474.4593150913,957266.5828273315,1059345.5685099296,963210.5516266491
2022-08-23,904400.0111926767,1022828.1106554564,974569.0008412473,876003.550331216,952040.8869769592,1048111.8013856867,958723.6477325823
2022-08-24,906339.9085010263,1024475.594771057,976270.4176350705,881452.9661188404,955576.4698321838,1050780.9769693052,960461.1010957062
2022-08-25,913024.6811603281,1036217.1066805419,987316.6547070615,884317.0130339405,963484.3292415161,1061303.464022667,969857.664925496
2022-08-26,884152.5834125254,1005470.2384096679,959580.3306141965,853142.1412938206,934703.9811694641,1026216.9055845732,940481.4684917589
2022-08-29,878765.8650134775,1002219.9377581176,953109.1112080686,843551.19529873,927859.3489978332,1019664.2760550146,935109.2235467946
2022-08-30,871759.9432605478,991025.1576143798,944713.7798863522,838046.6493247387,921066.9038455505,1007037.4679491885,926133.0260206059
2022-08-31,864023.6899036142,982866.0905138549,938743.5860806577,828093.9994505169,915870.6924541015,997691.1946123516,917963.2512909707
2022-09-01,867513.7281421396,987445.3124834594,944125.5649243466,827734.3821683361,920775.0606868286,1006494.6567750615,922216.2453482611
2022-09-02,857077.3875201914,977876.9095446166,933794.4065953366,820272.6142824145,912740.7034518737,995243.6356324506,912370.183170008
